,a,b,c,d,e,f,g,h,i,renzhen,weibo_num,gzl,fsl
491,数博会,:【海南数据谷开园 已有国内外50余家创业团队申请入驻】11月22日，由海航集团打造的海南互联网创新创业基地——“海南数据谷”正式开园并投入运营，将以大数据产业作为主要发展方向，致力于打造世界一流的互联网众创空间。http://t.cn/RfoDTDz,11月23日 14:18?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5562580164,认证：2015贵阳国际大数据产业博览会暨全球大数据时代贵阳峰会,微博[1646],关注[197],粉丝[2702]
492,941大数据,:#941大数据# #大数据# #大数据课程培训# 【大数据4 1高薪就业培训】 http://t.cn/RfoQibO （来自一点资讯）,11月23日 14:17?来自一点资讯.网页版,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/941bigdata,941大数据致力打造国内第一大数据学习和大数据分析师培训就业...,微博[351],关注[74],粉丝[59]
493,941大数据,:#941大数据# #大数据# #大数据课程培训# 【941大数据干货分享——机器学习中导数最优化方法(基础篇)】 http://t.cn/RfoQIcP （来自一点资讯）,11月23日 14:17?来自一点资讯.网页版,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/941bigdata,941大数据致力打造国内第一大数据学习和大数据分析师培训就业...,微博[351],关注[74],粉丝[59]
494,数博会,:【大数据不只是一次机遇 已成为人工智能时代“标配”】技术上看，大数据与云计算的关系就像一枚硬币的正反面一样密不可分。大数据必然无法用单台的计算机进行处理，必须采用分布式计算架构。http://t.cn/RfoDWRL #大数据应用# #大数据时代# #人工智能#,11月23日 14:17?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5562580164,认证：2015贵阳国际大数据产业博览会暨全球大数据时代贵阳峰会,微博[1646],关注[197],粉丝[2702]
495,廖文植先生,:老板今日再启程踏上新的征途，按照近段时间苗多多大数据中心收集的正面数据来看，我们坚持的地推“方向”是毋庸置疑的，我们的数据库只会更真实、更标准、更丰富。我们作为信息平台，所做的一切都以用户需求为出发点，解决行业壁垒。我始终坚信一个道理，不管新策略还是旧策略，实实在在为用户提供有价?全文,11月23日 14:17?来自iPhone,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/371738333,认证：微联社青年协会 会长,微博[845],关注[1178],粉丝[9558]
496,郫县花园镇2013,:【成都明年至少打造8个智慧农业示范区】从市农委获悉的，为了推进现代信息技术与农业产业融合，促进“互联网+现代农业”发展，我市出台了《2017年成都市农业信息化项目实施指导意见》，将以物联网、云计算、大数据等信息技术应用为重点，着力完善智能化信息设施，加快构建新型信息化服务体系，整村覆盖?全文,11月23日 14:17?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3757706082,认证：四川省成都市郫县花园镇人民政府官方微博,微博[2738],关注[21],粉丝[581]
497,941大数据,:#941大数据# #大数据# #大数据课程培训# 【大数据的价值开发你需要理解这些内容】 http://t.cn/RfXBhh1 （来自一点资讯）,11月23日 14:17?来自一点资讯.网页版,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/941bigdata,941大数据致力打造国内第一大数据学习和大数据分析师培训就业...,微博[351],关注[74],粉丝[59]
498,941大数据,:#941大数据# #大数据# #大数据课程培训# 【CDA数据分析员认证课程考试大纲】 http://t.cn/RfoQLyx （来自一点资讯）,11月23日 14:16?来自一点资讯.网页版,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/941bigdata,941大数据致力打造国内第一大数据学习和大数据分析师培训就业...,微博[351],关注[74],粉丝[59]
499,华东江苏大数据交易中心,:#华东大数据原创#《华东图解 | 低价药被炒至天价，中国医药市场到底怎样？》 近年来，很多低价药却在医院和药店难觅踪影，尤其是一些用量小的、罕见的救命低价药，缺货严重，标价几块钱的低价药，有的在黑市被炒到上千元。那么我国的医药市场到底怎样呢？ 华东图解 | 低价药被炒至天价，中国医药市场到底怎样？,11月23日 14:16?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bigdatahd,认证：华东江苏大数据交易中心官方微博,微博[1880],关注[122],粉丝[550]
500,数博会,:【国内首个教育大数据应用标准通过国家科技成果鉴定】本次科技成果鉴定会的结果为部分技术达到国内领先水，为全国推行专业化的教育大数据应用提供了可借鉴的案例。http://t.cn/RfoDaT9 #中国大数据产业# #大数据应用# #国家大数据战略# #大数据时代#,11月23日 14:15?来自微博 weibo.com,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5562580164,认证：2015贵阳国际大数据产业博览会暨全球大数据时代贵阳峰会,微博[1646],关注[197],粉丝[2702]
501,旧梦初识M,:赚钱了，落袋为安，准备好资金，晚上两个大数据，ＥＩＡ　　小非农提前到今天晚上，以往这两大数据波动有多大，就不用我自己说了，要做单的记得加老师。,11月23日 14:13?来自微博 weibo.com,no,yes,赞[2]</a>,转发[0]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/u/3719717493,认证：龙深合网络科技有限公司理财规划师,微博[202],关注[2175],粉丝[2870]
502,华东江苏大数据交易中心,:#数据早知道#【电信诈骗日益精准化 大数据能否遏制打击？】 近年来日益猖獗的电信诈骗犯罪，已经引起了相关部门的重视，各地公安机关陆续着手开展专项整治。但由于犯罪团伙众多，分布全国各地，加上跨地区作案、手法老练，高压打击之下电信诈骗事件仍不断发生。郑州女生案件只不过是最近发生的其中一宗?全文,11月23日 14:13?来自微博 weibo.com,no,yes,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bigdatahd,认证：华东江苏大数据交易中心官方微博,微博[1880],关注[122],粉丝[550]
503,物流城china,:电商轻松玩转大数据的三大策略 电商轻松玩转大数据的三大策略,11月23日 14:12?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5509348679,认证：深圳市鑫远东虎信网络科技有限公司,微博[571],关注[1484],粉丝[6576]
504,数博会,:【利用大数据技术服务于精准扶贫】大数据时代，技术的发展为解决以上问题，实现精准扶贫提供了坚实的技术基础。http://t.cn/RfoDben #中国大数据产业# #大数据应用# #精准扶贫#,11月23日 14:12?来自微博 weibo.com,no,yes,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5562580164,认证：2015贵阳国际大数据产业博览会暨全球大数据时代贵阳峰会,微博[1646],关注[197],粉丝[2702]
505,陈甜蕊,:分析师午后带着客户秀了一波操作[二哈][二哈]赚钱了，落袋为安，准备好资金，晚上两个大数据，ＥIＡ，小非农提前到今天晚上，以往这两大数据波动有多大，就不用我自己说了，要做单的记得加老师,11月23日 14:10?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/u/6038214426,认证：龙深合网络科技有限公司职员,微博[78],关注[255],粉丝[2453]
506,洪山创客张东,:#每日一条感悟##每日一条感悟# 在资本的寒冬，创业项目应该趋向于解决根本问题，接近于生活刚需，提升人们的生活便利，改变生活方式！什么大数据、平台，空有虚名，我想在这样的环境下，很难生存下去！好久好久，没有再听到创业团队融到资了，互联网只是一个工具，我们应该想想怎么样再去做一个高端便?全文,11月23日 14:09?来自iPhone 5s,no,yes,赞[1]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/271711113,认证：武汉智新创客互联科技有限公司 运营经理,微博[305],关注[111],粉丝[3711]
507,风云榜,:#体坛风云榜##体育明星粉丝榜#本周榜单数据已更新@captain龙 @张继科 @傅园慧o_O   名列风云榜总榜前三！@captain龙 在本周总榜中排名第一！科科@张继科 粉丝递水榜爱慕值依旧爆表！本周@林丹 在粉丝增量榜中排名第一！来看体育明星大数据，为你喜爱的体育明星递水加油吧！更多榜单数据请关注?全文,11月23日 14:09?来自微博 weibo.com,no,yes,赞[118]</,转发[20]</a>?<a ,评论[205]</a>?<a,http://weibo.cn/toplist,认证：新浪风云榜官方微博,微博[16587],关注[789],粉丝[545769]
508,众鼎汇传媒,":【国内第一个人工智能创投机器人阿尔妮塔问世】（中国经济网）11月22日,国内首个人工智能创投机器人——阿尔妮塔,以“智能大数据,解放投资人”为主题亮相京城,吸引了金融、科技、创投与学术界近百位专家和权威人士前来,共同见证人工智能行业与创业投资领域里的一颗闪亮新星的升起。阿尔妮塔为创投行业?全文",11月23日 14:08?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5983694470,认证：深圳市众鼎汇文化传媒有限公司官方微博,微博[319],关注[72],粉丝[40]
509,上驷策划_上驷网络科技,:上驷策划、大数据引流促销，多元化精准数据抓取，以数据为弹药，以转化为目标，荷枪实弹，弹无虚发。,11月23日 14:07?来自微博 weibo.com,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/szshangsi,深圳市上驷网络科技有限公司是一家专门以互联网科技为主，为企...,微博[7],关注[64],粉丝[8]
510,量子数聚,Forrester在一份最新的报告中说，2020年之前，使用人工智能（AI），大数据和物联网（IOT）等技术开展新业务的企业，每年将比不使用这些技术的同行多赚1.2万亿美元。2017年，大数据产业风将吹向哪里？,11月23日 14:04?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/datasunya,认证：量子数聚（北京）科技有限公司,微博[370],关注[160],粉丝[557]
511,微报告,:【马云：未来制造业最大的能源是“#大数据#”】这是一个巨大的时代，这是一个可以共同展望未来的时代。不是去改变别人，而是要改变自己，去拥抱这个时代，这样十年以后你就不会说这是大数据惹的祸。我们应该共同把大数据真正变成人类未来巨大能源所在。 来源：钱塘大数据 http://t.cn/RfoeSmR,11月23日 14:03?来自微博 weibo.com,no,yes,赞[1]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/reportcenter,认证：微报告官方账号,微博[5877],关注[270],粉丝[184271]
512,证券日报之声,:【爱投资完成B轮融资2.5亿元 加码iWind风控体系开发应用】11月22日，爱投资宣布完成B轮融资2.5亿元，基于中小企业的iWind大数据风控系统也同时亮相。http://t.cn/RfoebLc,11月23日 14:00?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2311077472,认证：证券日报官方微博,微博[60529],关注[229],粉丝[622587]
513,天弘基金,:#数据说# 跟随余额宝大数据探索剁手的奥秘↓↓↓,11月23日 14:00?来自微博 weibo.com,no,yes,赞[3]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/thfund,认证：天弘基金是余额宝基金管理人,微博[6379],关注[1146],粉丝[679759]
514,EMC中国-云计算,:Forrester在一份最新的报告中说，2020年之前，使用人工智能（AI），大数据和物联网（IOT）等技术开展新业务的企业，每年将比不使用这些技术的同行多赚1.2万亿美元。2017年，大数据产业风将吹向哪里？,11月23日 13:56?来自微博 weibo.com,no,yes,赞[0]</a>,转发[5]</a>?<a c,评论[2]</a>?<a h,http://weibo.cn/emcgreatchina,认证：EMC中国官方微博,微博[12709],关注[1888],粉丝[33804]
515,贵州省北斗山监狱,【这种新型电信诈骗老司机都上当 阿里大数据力挺警方千里追踪“回扣党”】10月26日，@金华公安 警方在阿里神盾局的协助下，打掉了一个专门利用银行汇款提醒短信进行诈骗的“回扣党”，成功抓获并刑拘犯罪嫌疑人27人，查扣作案电脑27台。#警企共铸网络安全# 银行转账短信被骗子利用 这种新型电信诈骗老司机都上当,11月23日 13:55?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3561388941,认证：贵州省北斗山监狱官方微博,微博[2825],关注[801],粉丝[1050]
516,长洪网,:取消奇葩证明『微舆情-互联网大数据平台』http://t.cn/RfogRxO,11月23日 13:53?来自华为麦芒3S,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3557383105,认证：广州长洪生物科技有限公司,微博[195],关注[1148],粉丝[193]
517,srwxhnn,:我是真的好怕那一天到来。那一天没有机会看你 也没有看到活跃于镜头和大数据的你。互联网翻了个底朝天也没有你的新消息。每年没有什么生日会。你已经不出歌了也跳不动舞了 作品已经不可计数。你隐居深处 享受天伦 和安逸的后半生 。偶尔回来我们的视线 或者不再回来。 那个时候新浪微博已经倒闭了 也不?全文,11月23日 13:53?来自iPhone 6s,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[2]</a>?<a h,http://weibo.cn/u/5403879605,"【闭关一周】Disadvantage is a blessing,Do not have too muc...",微博[432],关注[382],粉丝[23]
518,Fusuxia,:看到一句话说互联网终将是ABC的。A是AI人工智能，B是Big Data大数据，C是Cloud Computing云计算。,11月23日 13:49?来自Mac客户端,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/tigerhhx,编程、阅读、旅行。,微博[341],关注[23],粉丝[23]
519,小小棒棒的,:发表了博文《致敬世界互联网大会：当我们年轻时我们谈什么》互联网诞生的这20年，从各种网络媒体到自媒体的兴起，从移动互联网热潮到云计算大数据，从团购“百团大战”到O2O“厉兵秣马”，从豆瓣、知乎到分答、致敬世界互联网大会：当我们年轻时& 我们谈什么,11月23日 13:46?来自新浪博客,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/6017505878,我就是我,微博[43],关注[96],粉丝[33]
520,昆山联通官方微博,#第十三届联通小燕选拔赛# 大家在小燕的代领介绍下参观智慧展示中心，了解苏州智慧城市建设，了解联通大数据在各个领域的应用和网络发展成果[坏笑][坏笑][坏笑]@无线苏州 @中国联通江苏客服 @中国联通 @苏州发布 @苏州市12320卫生热线 @苏州公安 @苏州联通公司 秒拍视频 .,11月23日 13:44?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3213070897,认证：中国联合网络通信有限公司昆山市分公司,微博[6643],关注[491],粉丝[487383]
521,美通社资讯,:#会议信息# 【2017第八届中国移动支付年会1月11日将在京召开】为更好地推动#移动支付# 产业健康可持续发展，@人民邮电出版社 将联合各方于2017年1月11日在京召开#2017中国移动支付年会# ，邀请业界精英汇聚一堂，围绕主题 “聚力前行，引领移动支付创新与变革”，设立四大主题论坛，聚焦大数据、移动支?全文,11月23日 13:44?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/prnasia,认证：美通社资讯官方微博,微博[17276],关注[1979],粉丝[311838]
522,gazir,China：硬核民族，朋克家园。#数据来自搜狗输入法,11月23日 13:42?来自360安全浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/gazir,喝茶能治前列腺炎！___本人喝茶文化有限.公司首席CEO gazir,微博[9108],关注[1136],粉丝[888]
523,深圳新闻网,:#深圳城话#【小心货车！全市四成车祸致死它干的】昨天，市交警局对外发布交通事故大数据，对全年交通事故情况进行梳理。数据显示，今年全市道路交通安全形势相对平稳，截至11月18日，今年全市因道路交通事故死亡357人，同比去年减少22人、下降5.8%，未发生一次死亡3人以上较大道路交通事故。全市道路交?全文,11月23日 13:41?来自微博 weibo.com,no,yes,赞[1]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/sznewspinglun,认证：深圳新闻网官方微博,微博[24738],关注[1028],粉丝[587530]
524,爱吃老陈醋的宝贝小老虎,:【生态环境大数据 让城市突围霾伏 ——安徽省亳州市副市长刘辉一行参观考察北京罗克佳华】11月10日，安徽省亳州市副市长刘辉、亳州市环保局局长陈显锋、驻北京联络处主任李勇一行莅临北京罗克佳华公司，参观考察了通州区大气在线监测系统使用情况。罗克佳华集团股份公司副总裁、国家环境工业污染源监?全文,11月23日 13:41?来自360安全浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2758370195,不忘初心,微博[461],关注[185],粉丝[84]
525,DT唯等你UNIQi,:致闺蜜，致我们终将闪耀的初心！《闺蜜·自由季--杭州弄潮》全国闺蜜总代相约面包基地，怀揣感恩，砥砺前行，在雪白自在的闺蜜之路上自由奔竞。闺蜜团队引领发展，互联网+大数据，共享、创新、发展、未来，小姐妹启迪之路——大平台优势。,11月23日 13:39?来自vivo X5·K歌之王,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5285157606,,微博[836],关注[97],粉丝[47]
526,黄刚-物流与供应链,:【30页PPT：2016中国社区O2O市场专题研究报告】预计到2018年，中国社区O2O市场整体规模将接近5000亿元人民币。这份报告可以了解?当前社区O2O行业发展现状；? 不同发展模式痛点与机会；?主要社区O2O服务商运营现状；?社区O2O行业发展趋势与机会....社区O2O不是买卖行为，更多的是商业链接，大数据的?全文,11月23日 13:38?来自微博 weibo.com,no,yes,赞[32]</a,转发[130]</a>?<a,评论[9]</a>?<a h,http://weibo.cn/davidscm,"认证：汉森供应链总裁;汉森创投,农特微商创始人;中国电商协会物流专家 微博签约自媒体",微博[23122],关注[2220],粉丝[835613]
527,桐乡新闻网,:率先布局“智”造大数据 萧山制造业借力大数据转型升级 率先布局“智”造大数据 萧山制造业借力大数据转型升级,11月23日 13:33?来自微博 weibo.com,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/txnews2014,桐乡新闻网官方微博 http://www.txnews.com.cn,微博[3820],关注[342],粉丝[870]
528,我乔鲁诺还有什么话好说呢,China：硬核民族，朋克家园。#数据来自搜狗输入法,11月23日 13:32?来自华为P9手机摄影再突破,yes,no,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1304315814,,微博[4379],关注[175],粉丝[113]
529,我乔鲁诺还有什么话好说呢,China：硬核民族，朋克家园。#数据来自搜狗输入法,11月23日 13:32?来自华为P9手机摄影再突破,yes,no,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1304315814,,微博[4379],关注[175],粉丝[113]
530,中国联通,:#共创共赢共精彩#【2016河南联通合作伙伴大会在郑州举行】11月21日，2016河南联通合作伙伴大会在郑州国际会展中心召开，大会以“共创、共赢、共精彩”为主题，现场发布物联网、云计算、大数据三大创新平台以及汽车信息化、电子政务、医疗云平台等八大重点应用。会上韦海波总经理表示，河南联通将深化此?全文,11月23日 13:32?来自微博 weibo.com,no,yes,赞[58]</a,转发[423]</a>?<a,评论[60]</a>?<a ,http://weibo.cn/chinaunicom,认证：中国联合网络通信有限公司（中国联通）官方微博,微博[13539],关注[529],粉丝[4394485]
531,生意街,:【2020年改变科技行业的10大预测，将颠覆你现在的创业！】Gartner（高德纳咨询公司）发布了对IT行业未来的关键预测，大数据、物联网、区块链……这些热词在2020年是什么样子？,11月23日 13:30?来自皮皮时光机,no,yes,赞[2]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/shengyijienet,认证：生意街www.875.cn官方微博,微博[16579],关注[1541],粉丝[42027]
532,蛋阿吉,先有逻辑，所以可以解释相关性；随便找些数做回归相关分析然后再强找逻辑是什么鬼? 弄一帮学计算机的来分析宏观动不动拿大数据说事的，知不知道啥叫garbage in garbage out？,11月23日 13:30?来自微博 weibo.com,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[2]</a>?<a h,http://weibo.cn/u/2105968830,"""I hate everyone, why would I like you?""",微博[201],关注[367],粉丝[52]
533,09大数据网,:【产品经理如何让自己保持在互联网语境内自我提升？ | 09大数据】关注行业，了解行业动态和趋势可以说是产品经理这个岗位一项基本的职责和工作。每个人参与的项目或策划的产品都和行业有着千丝万缕的关系。身处行业内，要想做好自己的产品设计，我们有必要对互联网保持极大的热 http://t.cn/Rfor8pX,11月23日 13:28?来自百度分享,yes,no,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/345197036,是一家为互联网从业人员提供实战知识分享的科技媒体。 微信：0...,微博[15053],关注[2163],粉丝[90919]
534,FT中文网,12月8日，FT中文网将携手人人贷WE理财在北京“三里屯DayDayUp国际联合办公社区”举办发布会，联合发布《中国中产富裕阶层财富管理研究报告》，邀请人人贷WE理财副总裁黄伟纶、BCG全球合伙人张越等嘉宾探讨不确定市场环境下的理性投资思考。点击报名：http://t.cn/RfaD8Io,11月23日 13:25?来自FT中文网,no,yes,赞[4]</a>,转发[0]</a>?<a c,评论[2]</a>?<a h,http://weibo.cn/ftchinese,认证：FT中文网官方微博,微博[61816],关注[583],粉丝[1283485]
535,KBL加凯移民,:随着西班牙购房移民政策的推进，西班牙房地产市场吸引了越来越多高净值人群的目光！加凯移民小编就来给大家盘点解析一下2016年1-10月份的西班牙购房投资大数据。 西班牙2016年1-10月份房产投资报告,11月23日 13:24?来自微博 weibo.com,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/KBLJK,认证：KBL加凯顾问集团,微博[4171],关注[1944],粉丝[9850]
536,你的花样我的青春,:人工智能的发展让管理变得更加严谨，特别是数据类的工作更加精准，以前数据收集有专人，数据统计有专人负责，数据分析有专人，战略调整也有专人，现在人工智能下的大数据可以完成战略调整的前三步，并且还可以做出战略调整的建议，最后只需负责战略调整的负责人敲定即可。,11月23日 13:20?来自ZTE AXON天机MINI,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5602356204,不是你把自己交给时间，时间就可以把你照顾得很好。,微博[364],关注[140],粉丝[33]
537,09大数据网,:【APP的注册和登录功能设计 | 09大数据】是否需要注册和登录的关键取决于产品形态。如果用户注册登录对于用户需求、产品功能、商业模式本身带不来任何价值的话，就没必要设计这样的功能。比如一些实用工具类的产品：计算器、手电筒、无社交属性的天气预报等等。 http://t.cn/RfoB8LW,11月23日 13:15?来自百度分享,yes,no,赞[2]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/345197036,是一家为互联网从业人员提供实战知识分享的科技媒体。 微信：0...,微博[15053],关注[2163],粉丝[90919]
538,大国之酿,:11月22日，贵州省省国资委监管企业大数据展示暨应用推进座谈会在贵州饭店国际会议中心召开。茅台集团公司党委委员、总会计师杨建军参加座谈会，并于会上介绍了茅台集团大数据应用情况与取得的成果，得到了省国资委领导的一致赞扬和肯定。,11月23日 13:14?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2802268711,认证：大国之酿网www.daguozhiniang.com官方微博,微博[10733],关注[1255],粉丝[500011]
539,楚新强啊,《小米应用商店2016第三季度报告》截止2016年第三季度，小米应用商店分发量突破650亿，环比提高30%；共享单车摩拜、ofo展开激战；新闻首选今日头条，小说出现成倍增长；百度外卖占据榜首，VR与游戏新秀辈出；更多数据请见长图！转发并关注@小米应用商店 抽1台小米Note全网通[爱你],11月23日 13:08?来自红米4,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3926663566,红红火火恍恍惚惚……,微博[1037],关注[766],粉丝[284]
540,平底锅也有人抢,:『数联铭品首席科学家周涛：大数据海洋中的教授级创业家 | 每经网』数联铭品首席科学家周涛：大数据海洋中的教授级创业家,11月23日 13:07?来自Smartisan M1,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/milito,国际米兰球迷。擅长蛋炒饭。,微博[4354],关注[148],粉丝[269]
541,武汉理工大学就业,:【信息产业】深圳前海慧眼大数据技术有限公司   【信息产业】深圳前海慧眼大数据技术有限公司,11月23日 13:03?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/87851106,认证：武汉理工大学学生就业指导中心官方微博,微博[3434],关注[244],粉丝[5183]
542,谈实_产业评论,:《我不是潘金莲》深夜满场被指诡异 媒体调查背后真相@新浪财经@辛辣头条  都是互联网大数据惹得祸，什么都能造假！真丢人 《潘金莲》深夜满场被指诡异,11月23日 13:01?来自新浪财经,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/tanshi2008,认证：《亚洲新能源》执行总监、新能源、家电产业媒体资深记者,微博[1652],关注[913],粉丝[7540]
543,白石听涛,【穆黑套路】他们分工明确。有人负责编造谣言（假新闻），有人负责传播，有人负责“辟谣”并毫无根据地给别人泼脏水。,11月23日 13:00?来自小米手机4s,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1437656182,从小就是吓大的,微博[935],关注[261],粉丝[131]
544,何春银微想,#网络名人微访谈# 我向 @巴松狼王 @生态梦人 @贾峰 @何春银微想 提问：政府应采取什么举措让公众参与到环境治理中来？,11月23日 12:59?来自360安全浏览器,no,yes,赞[22]</a,转发[31]</a>?<a ,评论[14]</a>?<a ,http://weibo.cn/hechunyin,认证：南京微博名人汇理事长、1831大数据创始人,微博[13840],关注[3824],粉丝[1104230]
545,私人定制呵护女性健康-闺蜜面包,:致闺蜜，致我们终将闪耀的初心，《闺蜜·自由季--杭州弄潮》全国闺蜜总代相约面包基地，怀揣感恩，砥砺前行，在雪白自在的闺蜜之路上自由奔竞。舞台姐妹，闺蜜团队引领发展，互联网+、大数据，共享、创新，发展，未来，最终指向的是闺蜜小草的获得感，是小姐妹启迪之路——大平台优势。,11月23日 12:58?来自Android客户端,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5772449840,闺蜜面包是一款私人定制的礼盒卫生巾！超薄，海量吸水锁水，亲...,微博[272],关注[325],粉丝[120]
546,不穿鞋的灵魂,:『税务要大开杀戒，明年将清查个人全部银行账户！！税务局强大的大数据评估与云计算来到了我们身边』税务要大开杀戒，明年将清查个人全部银行账户！！税务局强大的大数据评估与云计算来到了我们身边,11月23日 12:58?来自HUAWEI Mate 8,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1859108592,,微博[301],关注[126],粉丝[66]
547,罗卡奥斯,:『大数据：中学生取得好成绩需要跨过哪些坑？ - FT中文网』http://t.cn/RfX5Dfx,11月23日 12:54?来自荣耀畅玩4C,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1941329424,,微博[747],关注[29],粉丝[16]
548,何春银微想,#网络名人微访谈# 我向 @巴松狼王 @生态梦人 @贾峰 @何春银微想 提问：能真整吗！不要说没钱，讨厌这个理由。 昆明·官渡区,11月23日 12:53?来自360安全浏览器,no,yes,赞[18]</a,转发[17]</a>?<a ,评论[10]</a>?<a ,http://weibo.cn/hechunyin,认证：南京微博名人汇理事长、1831大数据创始人,微博[13840],关注[3824],粉丝[1104230]
549,何春银微想,#网络名人微访谈# 我向 @巴松狼王 @生态梦人 @贾峰 @何春银微想 提问：能真整吗！不要说没钱，讨厌这个理由。 昆明·官渡区,11月23日 12:53?来自360安全浏览器,no,yes,赞[18]</a,转发[17]</a>?<a ,评论[10]</a>?<a ,http://weibo.cn/hechunyin,认证：南京微博名人汇理事长、1831大数据创始人,微博[13840],关注[3824],粉丝[1104230]
550,l刘佳程,:习惯法 人格权 互联网大数据 合同法的先进性 隐私权 广州·广州大学城,11月23日 12:50?来自小米手机4c,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2510567631,倚杖柴门外，临风听暮蝉,微博[443],关注[185],粉丝[55]
